OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
31593,09711,RTH,Beach Haven to Britomart (Lower Albert St),97B,Bus,17383.7658749412
31594,09712,RTH,Britomart (Quay St) To Verrans Corner,97B,Bus,10581.7561530081
31595,09713,RTH,Beach Haven To Britomart (Lower Albert) Via Highbury Bypass,97B,Bus,17065.5289169738
31596,09714,RTH,Britomart (Quay St) To Beach Haven Via Birkdale Rd,97B,Bus,17116.4879055457
31597,09716,RTH,Britomart (Quay St) To Beach Haven Via Highbury Bypass,97B,Bus,16818.0661756241
31598,10018,GBT,"City To Otara Via Manukau Rd, Onehunga, Mangere, Papatoetoe",N10,Bus,27257.9197635724
31599,10101,NZB,Pt Chevalier To Auckland University Via Jervois Rd,101,Bus,9213.94137886441
31600,10102,NZB,Auckland University To Pt Chevalier Via Jervois Rd,101,Bus,9055.03399105454
31601,10501,NZB,Westmere To Britomart Via Richmond Rd,105,Bus,8168.44731048608
31602,10502,NZB,Britomart To Westmere Via Richmond Rd,105,Bus,8435.37845851034
31603,10601,NZB,Freemans Bay Loop,106,Bus,5424.06260367302
31604,11101,PC,Royal Heights Loop,111,Bus,8208.44805580776
31605,11110,ATMB,Britomart To Swanson Western Rail Bus,RBW,Bus,31936.4755345214
31606,11111,ATMB,Swanson To Britomart Western Rail Bus,RBW,Bus,31821.2872125287
31607,11116,ATMB,Britomart To Newmarket Western Rail Bus,RBW,Bus,4202.18895677139
31608,11117,ATMB,Newmarket To Britomart Western Rail Bus,RBW,Bus,3622.20844482233
31609,11118,ATMB,Henderson To Swanson Western Rail Bus,RBW,Bus,6906.33279892853
31610,11121,ATMB,Swanson To New Lynn Western Rail Bus,RBW,Bus,16315.1026975376
31611,11124,ATMB,New Lynn To Swanson Western Rail Bus,RBW,Bus,16235.8467158597
31612,11201,PC,Hob Pt Wharf To Northwest Via W Harbour,112,Bus,9934.80925299709
31613,11202,PC,Northwest To Hob Pt Wharf Via W Harbour,112,Bus,10055.2126746355
